"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2021","17,490.29","17,256.61","17,643.97","16,248.08","108.92B","1.41%"
"07/01/2021","17,247.41","17,801.19","18,034.19","16,893.70","154.29B","-2.86%"
"06/01/2021","17,755.46","17,098.49","17,797.27","16,775.85","157.42B","4.03%"
"05/01/2021","17,068.43","17,505.52","17,546.94","15,159.86","196.90B","-2.84%"
"04/01/2021","17,566.66","16,538.28","17,709.23","16,496.16","172.34B","6.91%"
"03/01/2021","16,431.13","16,127.87","16,556.19","15,636.43","123.86B","2.99%"
"02/01/2021","15,953.80","15,176.56","16,579.17","15,089.96","74.12B","5.39%"
"01/01/2021","15,138.31","14,720.25","16,238.46","14,720.25","114.98B","2.75%"
"12/01/2020","14,732.53","13,810.55","14,760.06","13,749.71","142.92B","7.36%"
"11/01/2020","13,722.89","12,565.32","13,969.39","12,480.66","88.07B","9.38%"
"10/01/2020","12,546.34","12,567.88","12,997.79","12,519.12","65.70B","0.25%"
"09/01/2020","12,515.61","12,617.39","13,021.68","12,149.81","87.77B","-0.60%"
"08/01/2020","12,591.45","12,642.73","12,981.58","12,144.76","84.13B","-0.58%"
"07/01/2020","12,664.80","11,622.64","13,031.70","11,622.64","82.04B","8.98%"
"06/01/2020","11,621.24","10,971.40","11,771.12","10,971.40","66.08B","6.21%"
"05/01/2020","10,942.16","10,781.51","11,087.53","10,658.50","58.81B","-0.45%"
"04/01/2020","10,992.14","9,726.20","11,012.78","9,651.52","59.54B","13.23%"
"03/01/2020","9,708.06","11,184.66","11,525.32","8,523.63","74.42B","-14.03%"
"02/01/2020","11,292.17","11,365.90","11,854.98","11,138.03","43.82B","-1.77%"
"01/01/2020","11,495.10","12,026.50","12,197.64","11,418.22","36.31B","-4.18%"
"12/01/2019","11,997.14","11,509.94","12,125.90","11,454.38","47.24B","4.42%"
"11/01/2019","11,489.57","11,373.70","11,668.20","11,335.51","46.17B","1.15%"
